Altium Designer Pick and Place Locations
D:\Misc\Nixie\Project Outputs for Nixie\Pick Place\Pick Place for Nixie(Without tubes).txt

========================================================================================================================
File Design Information:

Date:       02.03.18
Time:       14:45
Revision:   Not in VersionControl
Variant:    Without tubes
Units used: mil

Designator Comment              Layer       Footprint            Center-X(mil) Center-Y(mil) Rotation          Description                                                                                                                 
J13_6      TE_5645518-1         TopLayer    TE_5645518-1         6126.968      752.505       90                "Mini-spring socket"                                                                                                        
J13_5      TE_5645518-1         TopLayer    TE_5645518-1         5221.457      752.505       90                "Mini-spring socket"                                                                                                        
J13_4      TE_5645518-1         TopLayer    TE_5645518-1         3922.244      752.505       90                "Mini-spring socket"                                                                                                        
J13_3      TE_5645518-1         TopLayer    TE_5645518-1         3016.732      752.505       90                "Mini-spring socket"                                                                                                        
J13_2      TE_5645518-1         TopLayer    TE_5645518-1         1717.520      752.505       90                "Mini-spring socket"                                                                                                        
J13_1      TE_5645518-1         TopLayer    TE_5645518-1         812.008       752.505       90                "Mini-spring socket"                                                                                                        
SW1_2      KSEK43GLFS           BottomLayer KSEK43GLFS           6943.661      2287.622      270               "Low Profile Tact Switch, 4.3 mm height"                                                                                    
SW1_1      KSEK43GLFS           BottomLayer KSEK43GLFS           6943.661      1647.858      270               "Low Profile Tact Switch, 4.3 mm height"                                                                                    
R17_2      220k                 BottomLayer RES0805              6756.654      2287.622      270               "Chip resistor 220k 0805"                                                                                                   
R17_1      220k                 BottomLayer RES0805              6756.654      1647.858      270               "Chip resistor 220k 0805"                                                                                                   
R2_2       10k                  BottomLayer RES0805              6756.654      2456.913      90                "Chip resistor 10k 0805"                                                                                                    
R2_1       10k                  BottomLayer RES0805              6756.654      1817.150      90                "Chip resistor 10k 0805"                                                                                                    
J12_6      TE_5645518-1         TopLayer    TE_5645518-1         6313.976      428.598       90                "Mini-spring socket"                                                                                                        
J12_5      TE_5645518-1         TopLayer    TE_5645518-1         5408.465      428.598       90                "Mini-spring socket"                                                                                                        
J12_4      TE_5645518-1         TopLayer    TE_5645518-1         4109.252      428.598       90                "Mini-spring socket"                                                                                                        
J12_3      TE_5645518-1         TopLayer    TE_5645518-1         3203.740      428.598       90                "Mini-spring socket"                                                                                                        
J12_2      TE_5645518-1         TopLayer    TE_5645518-1         1904.528      428.598       90                "Mini-spring socket"                                                                                                        
J12_1      TE_5645518-1         TopLayer    TE_5645518-1         999.016       428.598       90                "Mini-spring socket"                                                                                                        
J11_6      TE_5645518-1         TopLayer    TE_5645518-1         6220.472      403.543       90                "Mini-spring socket"                                                                                                        
J11_5      TE_5645518-1         TopLayer    TE_5645518-1         5314.961      403.543       90                "Mini-spring socket"                                                                                                        
J11_4      TE_5645518-1         TopLayer    TE_5645518-1         4015.748      403.543       90                "Mini-spring socket"                                                                                                        
J11_3      TE_5645518-1         TopLayer    TE_5645518-1         3110.236      403.543       90                "Mini-spring socket"                                                                                                        
J11_2      TE_5645518-1         TopLayer    TE_5645518-1         1811.024      403.543       90                "Mini-spring socket"                                                                                                        
J11_1      TE_5645518-1         TopLayer    TE_5645518-1         905.512       403.543       90                "Mini-spring socket"                                                                                                        
J10_6      TE_5645518-1         TopLayer    TE_5645518-1         6382.426      497.047       90                "Mini-spring socket"                                                                                                        
J10_5      TE_5645518-1         TopLayer    TE_5645518-1         5476.914      497.047       90                "Mini-spring socket"                                                                                                        
J10_4      TE_5645518-1         TopLayer    TE_5645518-1         4177.702      497.047       90                "Mini-spring socket"                                                                                                        
J10_3      TE_5645518-1         TopLayer    TE_5645518-1         3272.190      497.047       90                "Mini-spring socket"                                                                                                        
J10_2      TE_5645518-1         TopLayer    TE_5645518-1         1972.977      497.047       90                "Mini-spring socket"                                                                                                        
J10_1      TE_5645518-1         TopLayer    TE_5645518-1         1067.466      497.047       90                "Mini-spring socket"                                                                                                        
J9_6       TE_5645518-1         TopLayer    TE_5645518-1         6407.480      590.551       90                "Mini-spring socket"                                                                                                        
J9_5       TE_5645518-1         TopLayer    TE_5645518-1         5501.969      590.551       90                "Mini-spring socket"                                                                                                        
J9_4       TE_5645518-1         TopLayer    TE_5645518-1         4202.756      590.551       90                "Mini-spring socket"                                                                                                        
J9_3       TE_5645518-1         TopLayer    TE_5645518-1         3297.244      590.551       90                "Mini-spring socket"                                                                                                        
J9_2       TE_5645518-1         TopLayer    TE_5645518-1         1998.032      590.551       90                "Mini-spring socket"                                                                                                        
J9_1       TE_5645518-1         TopLayer    TE_5645518-1         1092.520      590.551       90                "Mini-spring socket"                                                                                                        
J8_6       TE_5645518-1         TopLayer    TE_5645518-1         6382.426      684.055       90                "Mini-spring socket"                                                                                                        
J8_5       TE_5645518-1         TopLayer    TE_5645518-1         5476.914      684.055       90                "Mini-spring socket"                                                                                                        
